"campaignid","caab_code","number","opcode","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","zone","marine_region","observer_count","observer_length","level_1","level_2","level_3","family","genus","species","scientific"
"SCI3304-2025","63617901",15,"I1",-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",0,"I1",-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"I1",-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",12,"I2",-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","NA","South-west","Erika Teng Gui","Khai Siang Tan","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",0,"I2",-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","NA","South-west","Erika Teng Gui","Khai Siang Tan","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"I2",-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","NA","South-west","Erika Teng Gui","Khai Siang Tan","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",14,"I3",-35.0429,117.9229333,"2025-04-25T10:08:00+08:00","Inlet","Prince Harbour","fished","8.6","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
"SCI3304-2025","80300930",0,"I3",-35.0429,117.9229333,"2025-04-25T10:08:00+08:00","Inlet","Prince Harbour","fished","8.6","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA
"SCI3304-2025","82001005",0,"I3",-35.0429,117.9229333,"2025-04-25T10:08:00+08:00","Inlet","Prince Harbour","fished","8.6","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA
"SCI3304-2025","63617901",1,"R1",-35.0335,117.8682667,"2025-04-23T10:38:00+08:00","Rocky","Prince Harbour","fished","3.2","Yes","Yes","NA","South-west","Caelan McCuaig","Kayla Ferrera","Biota","Seagrasses","Strap-like leaves","Posidoniaceae","Posidonia","spp","Posidonia spp"
