"campaignid","opcode","family","genus","species","count","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","observer_count","observer_length","inclusion_probability","visibility_m"
"SCI3304-2025","I1","Apogonidae","Ostorhinchus","rueppellii",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Apogonidae","Siphamia","cephalotes",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Arripidae","Arripis","georgianus",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Arripidae","Arripis","truttaceus",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Carangidae","Pseudocaranx","spp",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Carangidae","Trachurus","novaezelandiae",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Carangidae","Trachurus","spp",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Dinolestidae","Dinolestes","lewini",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Gerreidae","Parequula","melbournensis",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Labridae","Haletta","semifasciata",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Labridae","Neoodax","balteatus",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Labridae","Notolabrus","parilus",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Labridae","Unknown","spp",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Loliginidae","Sepioteuthis","australis",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Monacanthidae","Acanthaluteres","brownii",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Monacanthidae","Acanthaluteres","spp",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Monacanthidae","Meuschenia","galii",1,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Monacanthidae","Scobinichthys","granulatus",1,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Monacanthidae","Unknown","spp",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Mullidae","Upeneichthys","vlamingii",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Paralichthyidae","Pseudorhombus","jenynsii",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Sillaginidae","Sillaginodes","punctatus",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Sphyraenidae","Sphyraena","novaehollandiae",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Terapontidae","Pelates","octolineatus",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Tetraodontidae","Torquigener","vicinus",0,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Apogonidae","Ostorhinchus","rueppellii",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Apogonidae","Siphamia","cephalotes",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Arripidae","Arripis","georgianus",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Arripidae","Arripis","truttaceus",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Carangidae","Pseudocaranx","spp",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Carangidae","Trachurus","novaezelandiae",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Carangidae","Trachurus","spp",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Dinolestidae","Dinolestes","lewini",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Gerreidae","Parequula","melbournensis",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Labridae","Haletta","semifasciata",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Labridae","Neoodax","balteatus",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Labridae","Notolabrus","parilus",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Labridae","Unknown","spp",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Loliginidae","Sepioteuthis","australis",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Monacanthidae","Acanthaluteres","brownii",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Monacanthidae","Acanthaluteres","spp",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Monacanthidae","Meuschenia","galii",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Monacanthidae","Scobinichthys","granulatus",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Monacanthidae","Unknown","spp",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
"SCI3304-2025","I2","Mullidae","Upeneichthys","vlamingii",0,-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","Erika Teng Gui","Khai Siang Tan",NA,NA
