"campaignid","opcode","family","genus","species","code","length_mm","number","range","rms","precision","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","observer_count","observer_length","inclusion_probability","visibility_m"
"SCI3304-2025","I1","Apogonidae","Ostorhinchus","rueppellii","37327040",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Apogonidae","Siphamia","cephalotes","37327032",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Arripidae","Arripis","georgianus","37344001",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Arripidae","Arripis","truttaceus","37344004",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Carangidae","Pseudocaranx","spp",NA,NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Carangidae","Trachurus","novaezelandiae","37337003",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Carangidae","Trachurus","spp",NA,NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Dinolestidae","Dinolestes","lewini","37327002",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Gerreidae","Parequula","melbournensis","37349001",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Labridae","Haletta","semifasciata","37385009",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Labridae","Haletta","semifasciata",NA,NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Labridae","Neoodax","balteatus","37385005",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Labridae","Notolabrus","parilus","37384022",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Labridae","Unknown","spp",NA,NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Loliginidae","Sepioteuthis","australis","23617005",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Monacanthidae","Acanthaluteres","brownii","37465001",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Monacanthidae","Acanthaluteres","spp",NA,NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Monacanthidae","Meuschenia","galii","37465040",214.47611,1,1088.05767,1.17682,1.84746,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Monacanthidae","Scobinichthys","granulatus","37465007",185.32043,1,916.34791,0.5934,1.07201,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Monacanthidae","Unknown","spp",NA,NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
"SCI3304-2025","I1","Mullidae","Upeneichthys","vlamingii","37355029",NA,0,NA,NA,NA,-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","Ephraim Chang","Khai Siang Tan",NA,NA
