"campaignid","caab_code","number","opcode","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","zone","marine_region","observer_count","observer_length","level_1","level_2","level_3","level_4","level_5"
"SCI3304-2025","82003001",0,"I1",-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",2,"I1",-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",2,"I1",-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",8,"I1",-35.0406,117.9238056,"2025-04-25T09:54:00+08:00","Inlet","Prince Harbour","fished","7.4","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"I2",-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","NA","South-west","Erika Teng Gui","Khai Siang Tan","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",2,"I2",-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","NA","South-west","Erika Teng Gui","Khai Siang Tan","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",1,"I2",-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","NA","South-west","Erika Teng Gui","Khai Siang Tan","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",7,"I2",-35.0412,117.9221167,"2025-04-25T09:56:00+08:00","Inlet","Prince Harbour","fished","7.9","Yes","Yes","NA","South-west","Erika Teng Gui","Khai Siang Tan","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"I3",-35.0429,117.9229333,"2025-04-25T10:08:00+08:00","Inlet","Prince Harbour","fished","8.6","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"I3",-35.0429,117.9229333,"2025-04-25T10:08:00+08:00","Inlet","Prince Harbour","fished","8.6","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",5,"I3",-35.0429,117.9229333,"2025-04-25T10:08:00+08:00","Inlet","Prince Harbour","fished","8.6","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",5,"I3",-35.0429,117.9229333,"2025-04-25T10:08:00+08:00","Inlet","Prince Harbour","fished","8.6","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",1,"R1",-35.0335,117.8682667,"2025-04-23T10:38:00+08:00","Rocky","Prince Harbour","fished","3.2","Yes","Yes","NA","South-west","Caelan McCuaig","Kayla Ferrera","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",2,"R1",-35.0335,117.8682667,"2025-04-23T10:38:00+08:00","Rocky","Prince Harbour","fished","3.2","Yes","Yes","NA","South-west","Caelan McCuaig","Kayla Ferrera","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",7,"R1",-35.0335,117.8682667,"2025-04-23T10:38:00+08:00","Rocky","Prince Harbour","fished","3.2","Yes","Yes","NA","South-west","Caelan McCuaig","Kayla Ferrera","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"R1",-35.0335,117.8682667,"2025-04-23T10:38:00+08:00","Rocky","Prince Harbour","fished","3.2","Yes","Yes","NA","South-west","Caelan McCuaig","Kayla Ferrera","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",3,"R2",-35.0326,117.86735,"2025-04-23T10:57:00+08:00","Rocky","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",6,"R2",-35.0326,117.86735,"2025-04-23T10:57:00+08:00","Rocky","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",1,"R2",-35.0326,117.86735,"2025-04-23T10:57:00+08:00","Rocky","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"R2",-35.0326,117.86735,"2025-04-23T10:57:00+08:00","Rocky","Prince Harbour","fished","2.4","Yes","Yes","NA","South-west","Khai Siang Tan","Darren Yap","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"R3",-35.03421667,117.8662333,"2025-04-23T11:09:00+08:00","Rocky","Prince Harbour","fished","3.1","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"R3",-35.03421667,117.8662333,"2025-04-23T11:09:00+08:00","Rocky","Prince Harbour","fished","3.1","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",10,"R3",-35.03421667,117.8662333,"2025-04-23T11:09:00+08:00","Rocky","Prince Harbour","fished","3.1","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"R3",-35.03421667,117.8662333,"2025-04-23T11:09:00+08:00","Rocky","Prince Harbour","fished","3.1","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"R4",-35.0373,117.8642833,"2025-04-23T11:23:00+08:00","Rocky","Prince Harbour","fished","3.7","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"R4",-35.0373,117.8642833,"2025-04-23T11:23:00+08:00","Rocky","Prince Harbour","fished","3.7","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",6,"R4",-35.0373,117.8642833,"2025-04-23T11:23:00+08:00","Rocky","Prince Harbour","fished","3.7","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"R4",-35.0373,117.8642833,"2025-04-23T11:23:00+08:00","Rocky","Prince Harbour","fished","3.7","Yes","Yes","NA","South-west","Ephraim Chang","Khai Siang Tan","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"R5",-35.0387,117.8679333,"2025-04-23T11:38:00+08:00","Rocky","Prince Harbour","fished","4.7","Yes","Yes","NA","South-west","James Wijaya","Khai Siang Tan","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",5,"R5",-35.0387,117.8679333,"2025-04-23T11:38:00+08:00","Rocky","Prince Harbour","fished","4.7","Yes","Yes","NA","South-west","James Wijaya","Khai Siang Tan","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",5,"R5",-35.0387,117.8679333,"2025-04-23T11:38:00+08:00","Rocky","Prince Harbour","fished","4.7","Yes","Yes","NA","South-west","James Wijaya","Khai Siang Tan","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"R5",-35.0387,117.8679333,"2025-04-23T11:38:00+08:00","Rocky","Prince Harbour","fished","4.7","Yes","Yes","NA","South-west","James Wijaya","Khai Siang Tan","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"R6",-35.0412,117.86645,"2025-04-23T11:51:00+08:00","Rocky","Prince Harbour","fished","3.8","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",5,"R6",-35.0412,117.86645,"2025-04-23T11:51:00+08:00","Rocky","Prince Harbour","fished","3.8","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",0,"R6",-35.0412,117.86645,"2025-04-23T11:51:00+08:00","Rocky","Prince Harbour","fished","3.8","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",0,"R6",-35.0412,117.86645,"2025-04-23T11:51:00+08:00","Rocky","Prince Harbour","fished","3.8","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S1",-35.0706,117.8915333,"2025-04-24T14:01:00+08:00","Sandy","Prince Harbour","fished","1.2","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"S1",-35.0706,117.8915333,"2025-04-24T14:01:00+08:00","Sandy","Prince Harbour","fished","1.2","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",0,"S1",-35.0706,117.8915333,"2025-04-24T14:01:00+08:00","Sandy","Prince Harbour","fished","1.2","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",10,"S1",-35.0706,117.8915333,"2025-04-24T14:01:00+08:00","Sandy","Prince Harbour","fished","1.2","Yes","Yes","NA","South-west","Kayla Ferrera","Erika Teng Gui","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S10",-35.0713,117.9023333,"2025-04-24T13:28:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",0,"S10",-35.0713,117.9023333,"2025-04-24T13:28:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",0,"S10",-35.0713,117.9023333,"2025-04-24T13:28:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",10,"S10",-35.0713,117.9023333,"2025-04-24T13:28:00+08:00","Sandy","Prince Harbour","fished","2.3","Yes","Yes","NA","South-west","Ephraim Chang","Darren Yap","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S11",-35.0723,117.8995667,"2025-04-24T13:44:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Erika Teng Gui","Darren Yap","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",1,"S11",-35.0723,117.8995667,"2025-04-24T13:44:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Erika Teng Gui","Darren Yap","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",4,"S11",-35.0723,117.8995667,"2025-04-24T13:44:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Erika Teng Gui","Darren Yap","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",11,"S11",-35.0723,117.8995667,"2025-04-24T13:44:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","Erika Teng Gui","Darren Yap","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S12",-35.0733,117.9008,"2025-04-24T13:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",2,"S12",-35.0733,117.9008,"2025-04-24T13:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Physical","Relief","Low / moderate","Low (<1m)","1"
"SCI3304-2025","82003004",0,"S12",-35.0733,117.9008,"2025-04-24T13:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Physical","Relief","Low / moderate","Moderate (1-3m)","2"
"SCI3304-2025","82003006",5,"S12",-35.0733,117.9008,"2025-04-24T13:41:00+08:00","Sandy","Prince Harbour","fished","1.7","Yes","Yes","NA","South-west","James Wijaya","Darren Yap","Physical","Relief","High","High (>3m)","3"
"SCI3304-2025","82003001",0,"S13",-35.0739,117.9035667,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Darren Yap","James Wijaya","Physical","Relief","Flat",NA,"0"
"SCI3304-2025","82003003",3,"S13",-35.0739,117.9035667,"2025-04-24T13:01:00+08:00","Sandy","Prince Harbour","fished","1.3","Yes","Yes","NA","South-west","Darren Yap","James Wijaya","Physical","Relief","Low / moderate","Low (<1m)","1"
